,Time,Dominant,X,Y,Amplitude,Phase,PhaseVelocity,Wavelength,Amp/Wave
0,10,False,1,0,1.74224672816,3.14236037025,-0.000446827109672,1.0,1.74224672816
1,20,False,1,0,1.73681522665,3.13689901935,-0.00054613508942,1.0,1.73681522665
2,30,False,1,0,1.73378647774,3.13140596094,-0.000549305841651,1.0,1.73378647774
3,40,False,1,0,1.73200084302,3.12644616873,-0.000495979221005,1.0,1.73200084302
4,50,False,1,0,1.73052498518,3.12157122184,-0.000487494688586,1.0,1.73052498518
5,60,False,1,0,1.72897402938,3.11661850841,-0.000495271343484,1.0,1.72897402938
6,70,False,1,0,1.72696693475,3.1115729346,-0.000504557380547,1.0,1.72696693475
7,80,False,1,0,1.7248641337,3.10672129564,-0.000485163896108,1.0,1.7248641337
8,90,False,1,0,1.72307985661,3.10182812067,-0.000489317497004,1.0,1.72307985661
9,100,False,1,0,1.72153007766,3.09723893091,-0.000458918976225,1.0,1.72153007766
10,110,False,1,0,1.72027480884,3.09305767941,-0.00041812515035,1.0,1.72027480884
11,120,False,1,0,1.71940067909,3.08886988231,-0.000418779709902,1.0,1.71940067909
12,130,False,1,0,1.71901982612,3.08482245127,-0.000404743104022,1.0,1.71901982612
13,140,False,1,0,1.71915668852,3.08056251247,-0.000425993880019,1.0,1.71915668852
14,150,False,1,0,1.71909486779,3.07584777672,-0.000471473574176,1.0,1.71909486779
15,160,False,1,0,1.71931082344,3.07060810542,-0.000523967130553,1.0,1.71931082344
16,170,False,1,0,1.71947798383,3.06505343252,-0.000555467290192,1.0,1.71947798383
17,180,False,1,0,1.71984941503,3.05943654754,-0.000561688497761,1.0,1.71984941503
18,190,False,1,0,1.71969543911,3.05345816723,-0.000597838031384,1.0,1.71969543911
19,200,False,1,0,1.71946243061,3.04722044273,-0.000623772449218,1.0,1.71946243061
20,210,False,1,0,1.71906444487,3.04099064642,-0.000622979630903,1.0,1.71906444487
21,220,False,1,0,1.71831058754,3.03501986484,-0.000597078157917,1.0,1.71831058754
