,Time,Dominant Freq.,X,Y,Amplitude,Phase,Wavelength,Aspect_Ratio
0,1,True,4,0,0.0003012828607944324,2.915417771109632,0.25,0.0012051314431777297
1,1,True,6,0,0.0005130220094972086,-1.4230801817132257,0.16666666666666666,0.003078132056983252
2,1,True,9,1,0.00043884788156079406,-0.4333277542023151,0.1111111111111111,0.003949630934047147
3,1,False,26,2,0.001235799756704019,1.7089936903371339,0.038461538461538464,0.03213079367430449
4,1,False,48,8,0.0011995737302593313,0.48859431341288384,0.020833333333333332,0.057579539052447906
5,1,False,36,10,0.0012105505167416795,0.8392297518382822,0.027777777777777776,0.043579818602700465
6,1,False,39,11,0.0013166184458538678,2.2826179924996723,0.02564102564102564,0.05134811938830085
7,1,False,28,14,0.0012440162545839918,1.5404048282037437,0.03571428571428571,0.03483245512835177
8,1,False,28,15,0.001214580769536134,0.14135982697323507,0.03571428571428571,0.03400826154701175
9,1,False,25,16,0.001248712709614291,0.741839670162097,0.04,0.031217817740357277
10,1,False,30,18,0.0013063772113479392,-1.6028705951297697,0.03333333333333333,0.039191316340438175
11,1,False,42,18,0.0012241807336488548,-1.059528120996166,0.023809523809523808,0.05141559081325191
12,1,False,31,24,0.0012880861802883608,-1.2359078903125256,0.03225806451612903,0.03993067158893918
13,1,False,42,25,0.0012459018463213188,-0.3484616530240845,0.023809523809523808,0.052327877545495394
14,1,False,42,34,0.001495654871813821,1.8834465143614558,0.023809523809523808,0.06281750461618048
15,1,False,30,36,0.0012989569769210035,2.115418324889524,0.03333333333333333,0.038968709307630106
16,1,False,35,49,0.0012555661659026103,-2.6089962482465916,0.02857142857142857,0.04394481580659136
0,2,True,4,0,0.00035599799411827,1.7336994385653042,0.25,0.00142399197647308
1,2,True,6,0,0.0011706818578007083,-1.637279201062618,0.16666666666666666,0.00702409114680425
2,2,True,9,1,0.0008748228975768304,-0.798411396662359,0.1111111111111111,0.007873406078191474
3,2,False,23,1,0.0022841129335442025,-0.6417523948817573,0.043478260869565216,0.05253459747151666
4,2,False,26,2,0.002749192015084441,0.7241994707239883,0.038461538461538464,0.07147899239219546
5,2,False,31,3,0.0022701145839677554,0.7832934186361243,0.03225806451612903,0.07037355210300042
6,2,False,34,4,0.0026819120014737047,1.9245949071174364,0.029411764705882353,0.09118500805010596
7,2,False,21,5,0.002241344723538397,2.2412394382453495,0.047619047619047616,0.04706823919430634
8,2,False,26,6,0.0023882010704496803,1.7367811613675912,0.038461538461538464,0.06209322783169169
9,2,False,15,8,0.0023071439043881327,0.6791184257131804,0.06666666666666667,0.03460715856582199
10,2,False,16,8,0.0024639813123265605,-2.2796972400983666,0.0625,0.03942370099722497
11,2,False,29,10,0.002672274057904827,2.3888739474615526,0.034482758620689655,0.07749594767923998
12,2,False,26,11,0.002460882052974961,2.5907927712567558,0.038461538461538464,0.06398293337734898
13,2,False,36,12,0.0023162419290970195,1.2363151204226277,0.027777777777777776,0.08338470944749271
14,2,False,27,13,0.002618071850440198,1.416902259730873,0.037037037037037035,0.07068793996188534
15,2,False,29,13,0.002267015078810003,-3.0728289657052223,0.034482758620689655,0.06574343728549009
16,2,False,24,14,0.002219502161664796,1.565209690120412,0.041666666666666664,0.053268051879955106
17,2,False,28,14,0.0025593359242197253,0.8040156056343999,0.03571428571428571,0.07166140587815231
18,2,False,26,15,0.0022021844569417065,-2.5089892077468265,0.038461538461538464,0.057256795880484365
19,2,False,29,16,0.002744687151569787,-1.485361507682928,0.034482758620689655,0.07959592739552383
20,2,False,28,17,0.0022258960544996147,1.6249494309791408,0.03571428571428571,0.06232508952598921
21,2,False,26,18,0.00243003255265101,-1.7980185760675274,0.038461538461538464,0.06318084636892625
22,2,False,21,21,0.0022022375047956047,-0.9255333129293463,0.047619047619047616,0.0462469876007077
23,2,False,19,24,0.0023908852737644323,-1.9703379131913141,0.05263157894736842,0.045426820201524214
24,2,False,31,24,0.0022477203910274382,-2.08535659949513,0.03225806451612903,0.06967933212185058
25,2,False,18,46,0.002208045903466863,0.4777351442476868,0.05555555555555555,0.03974482626240353
0,3,True,4,0,0.0011339160127166387,1.6254071788623634,0.25,0.004535664050866555
1,3,True,6,0,0.002838763221729782,-1.7598561647323043,0.16666666666666666,0.017032579330378692
2,3,True,9,1,0.0020770077095254445,-0.9934125964465753,0.1111111111111111,0.018693069385729
3,3,False,14,4,0.0051772796678688,0.9865481786637359,0.07142857142857142,0.07248191535016321
4,3,False,18,4,0.00501801513920024,-0.11988940786769864,0.05555555555555555,0.09032427250560432
5,3,False,16,5,0.004879312347618288,-2.9067607049299093,0.0625,0.0780689975618926
6,3,False,16,8,0.005647693866172798,-2.699813564318013,0.0625,0.09036310185876477
7,3,False,16,16,0.00468158165732469,0.6500685792591132,0.0625,0.07490530651719504
8,3,False,15,19,0.004699218972640626,-2.963037398641045,0.06666666666666667,0.07048828458960939
9,3,False,16,19,0.005819475588213911,1.1397656597911523,0.0625,0.09311160941142257
10,3,False,18,20,0.005057014859906625,-2.511757550812665,0.05555555555555555,0.09102626747831927
11,3,False,15,21,0.004831889304687461,-2.3925179780037404,0.06666666666666667,0.07247833957031191
0,4,True,4,0,0.002155443883893711,1.6059056588681415,0.25,0.008621775535574845
1,4,True,6,0,0.005270437258389887,-1.8143536870751376,0.16666666666666666,0.031622623550339325
2,4,True,9,1,0.003425953847378892,-0.644041646873746,0.1111111111111111,0.030833584626410032
3,4,False,14,1,0.00703521413580425,-0.42252446802009697,0.07142857142857142,0.09849299790125951
4,4,False,15,1,0.00697099110042735,-2.4947249898048662,0.06666666666666667,0.10456486650641025
5,4,False,14,4,0.008360685869837691,0.7021003685620689,0.07142857142857142,0.11704960217772768
6,4,False,18,4,0.007848391843401907,-0.45033164477593474,0.05555555555555555,0.14127105318123434
7,4,False,11,5,0.007632367469706889,1.2548289723162944,0.09090909090909091,0.08395604216677578
8,4,False,16,8,0.008550240847245906,-3.0259540492867734,0.0625,0.1368038535559345
9,4,False,13,9,0.007991804925338585,-2.3127367827719634,0.07692307692307693,0.1038934640294016
10,4,False,16,19,0.008007511473863194,0.7758793546241955,0.0625,0.1281201835818111
0,5,True,4,0,0.0019412030042432358,1.6415498559135118,0.25,0.007764812016972943
1,5,True,6,0,0.007987783010169293,-2.178545604174425,0.16666666666666666,0.04792669806101576
2,5,False,11,0,0.009768055337658012,-1.2498247246136576,0.09090909090909091,0.10744860871423813
3,5,False,8,1,0.010614861828233464,0.6295295401236104,0.125,0.08491889462586771
4,5,True,9,1,0.00589433731794829,-0.9117214925485648,0.1111111111111111,0.05304903586153461
5,5,False,14,1,0.011060908509945778,-0.6207623344313393,0.07142857142857142,0.1548527191392409
6,5,False,16,1,0.009454964848757115,1.1644200989015328,0.0625,0.15127943758011383
7,5,False,13,4,0.010203547227559527,2.6316569178428897,0.07692307692307693,0.13264611395827383
8,5,False,14,4,0.011563533973308804,0.45131250583946725,0.07142857142857142,0.16188947562632328
9,5,False,11,5,0.011484031272498332,0.9177594851866082,0.09090909090909091,0.12632434399748163
10,5,False,16,8,0.011501357291076625,2.8121849445221034,0.0625,0.184021716657226
11,5,False,13,9,0.009451164375784018,-2.7602633790991944,0.07692307692307693,0.12286513688519222
0,6,True,4,0,0.004163863652368794,1.8199016913735357,0.25,0.016655454609475175
1,6,True,6,0,0.01071619809781771,-2.471514462990306,0.16666666666666666,0.06429718858690626
2,6,False,8,1,0.014419771696649037,0.4877377069478235,0.125,0.1153581735731923
3,6,True,9,1,0.009277127620875084,-0.9178495811949817,0.1111111111111111,0.08349414858787575
4,6,False,6,3,0.0130470550862093,-1.6203260264407762,0.16666666666666666,0.0782823305172558
5,6,False,16,3,0.013370398667017508,2.328553423827915,0.0625,0.21392637867228012
6,6,False,14,4,0.015540156820117609,0.07772008448294501,0.07142857142857142,0.21756219548164654
7,6,False,18,4,0.013121803527269016,-1.5157673074646854,0.05555555555555555,0.2361924634908423
8,6,False,11,5,0.014553809523874589,0.7040355264239018,0.09090909090909091,0.16009190476262047
9,6,False,11,6,0.013530750611565227,-0.2301059039297087,0.09090909090909091,0.14883825672721748
0,7,True,4,0,0.004116122245362334,1.300605006000178,0.25,0.016464488981449334
1,7,True,6,0,0.01528613067115246,-2.5485844616353983,0.16666666666666666,0.09171678402691477
2,7,False,8,1,0.018947059742278543,0.424420194903806,0.125,0.15157647793822834
3,7,True,9,1,0.012850761111009273,-1.0608752843365863,0.1111111111111111,0.11565684999908346
4,7,False,6,3,0.015606958218695314,-1.738537502464026,0.16666666666666666,0.0936417493121719
5,7,False,18,4,0.016310592718428316,-1.7974812832090337,0.05555555555555555,0.2935906689317097
6,7,False,11,5,0.019430758468027422,0.5073618998502083,0.09090909090909091,0.21373834314830165
7,7,False,11,6,0.01793174157120008,-0.3927794914321439,0.09090909090909091,0.1972491572832009
8,7,False,13,9,0.015879708730340877,2.898448743180233,0.07692307692307693,0.2064362134944314
0,8,True,4,0,0.003820840208271905,1.28665947370627,0.25,0.01528336083308762
1,8,True,6,0,0.01623563093906101,-2.7399519659031975,0.16666666666666666,0.09741378563436606
2,8,False,8,1,0.023343405604432637,0.27669193624229066,0.125,0.1867472448354611
3,8,True,9,1,0.01693339224659694,-0.9756956835096207,0.1111111111111111,0.15240053021937247
4,8,False,6,3,0.020046399380720347,-1.8309996733266498,0.16666666666666666,0.12027839628432209
5,8,False,11,5,0.022734577522815165,0.11287334725921334,0.09090909090909091,0.2500803527509668
6,8,False,11,6,0.02320681121501782,-0.841954433480238,0.09090909090909091,0.255274923365196
7,8,False,13,14,0.019659579415943693,-3.0999829077539336,0.07692307692307693,0.25557453240726796
0,9,True,4,0,0.0076423688925925225,1.5030153957506809,0.25,0.03056947557037009
1,9,True,6,0,0.018823192348950135,-2.800923282065031,0.16666666666666666,0.11293915409370081
2,9,False,8,1,0.02788448503393512,0.20837581777664488,0.125,0.22307588027148095
3,9,True,9,1,0.023291283478995842,-1.113091090678009,0.1111111111111111,0.2096215513109626
4,9,False,11,5,0.024171434976067087,0.026734351540423126,0.09090909090909091,0.26588578473673796
5,9,False,11,6,0.029254537162531933,-1.0923393964460668,0.09090909090909091,0.32179990878785125
0,10,True,4,0,0.008053912194684263,1.1224129478634675,0.25,0.032215648778737054
1,10,True,6,0,0.0218027377126429,-2.8908396965500613,0.16666666666666666,0.1308164262758574
2,10,False,8,1,0.03291955053601201,-0.0186114283476069,0.125,0.2633564042880961
3,10,True,9,1,0.029801138088249357,-1.1684759329182004,0.1111111111111111,0.2682102427942442
4,10,False,11,6,0.03612101006559235,-1.2498810758073555,0.09090909090909091,0.3973311107215159
0,11,True,4,0,0.008753933200734802,1.105345609870235,0.25,0.03501573280293921
1,11,True,6,0,0.024968908500526386,-2.9285737754244825,0.16666666666666666,0.14981345100315832
2,11,False,8,1,0.03384689357212443,-0.14640357649598768,0.125,0.2707751485769954
3,11,True,9,1,0.037031227394175636,-1.394902708073715,0.1111111111111111,0.33328104654758073
4,11,False,11,5,0.033086780806973484,-0.2595184921373052,0.09090909090909091,0.36395458887670834
5,11,False,11,6,0.03851011489222822,-1.4784040040358926,0.09090909090909091,0.4236112638145104
0,12,True,4,0,0.009282920524775027,0.9928743040134774,0.25,0.03713168209910011
1,12,True,6,0,0.029317753197593242,-3.0449914638340734,0.16666666666666666,0.17590651918555947
