,Time,Dominant Freq.,X,Y,Amplitude,Phase,Wavelength,Amp/Wave
0,5,True,4,0,0.00194120300424,1.64154985591,0.25,0.00776481201697
1,5,True,6,0,0.00798778301017,-2.17854560417,0.166666666667,0.047926698061
2,5,False,11,0,0.00976805533766,-1.24982472461,0.0909090909091,0.107448608714
3,5,False,8,1,0.0106148618282,0.629529540124,0.125,0.0849188946259
4,5,False,14,1,0.0110609085099,-0.620762334431,0.0714285714286,0.154852719139
5,5,False,16,1,0.00945496484876,1.1644200989,0.0625,0.15127943758
6,5,False,13,4,0.0102035472276,2.63165691784,0.0769230769231,0.132646113958
7,5,False,14,4,0.0115635339733,0.451312505839,0.0714285714286,0.161889475626
8,5,False,11,5,0.0114840312725,0.917759485187,0.0909090909091,0.126324343997
9,5,False,16,8,0.0115013572911,2.81218494452,0.0625,0.184021716657
10,5,False,13,9,0.00945116437578,-2.7602633791,0.0769230769231,0.122865136885
0,10,True,4,0,0.00805391219468,1.12241294786,0.25,0.0322156487787
1,10,True,6,0,0.0218027377126,-2.89083969655,0.166666666667,0.130816426276
2,10,False,8,1,0.032919550536,-0.0186114283476,0.125,0.263356404288
3,10,False,9,1,0.0298011380882,-1.16847593292,0.111111111111,0.268210242794
4,10,False,11,6,0.0361210100656,-1.24988107581,0.0909090909091,0.397331110722
0,15,True,4,0,0.0139016217,0.915574018208,0.25,0.0556064868001
1,15,True,6,0,0.037186278815,3.08876113094,0.166666666667,0.22311767289
2,15,False,8,1,0.0553035392475,-0.506684058289,0.125,0.44242831398
3,15,False,9,1,0.0589833504255,-1.94800096063,0.111111111111,0.53085015383
4,15,False,11,5,0.0576334579724,-1.05017571387,0.0909090909091,0.633968037696
5,15,False,11,6,0.0589973251576,-2.30870824949,0.0909090909091,0.648970576733
0,20,True,4,0,0.0122103383136,0.387359725707,0.25,0.0488413532544
1,20,True,6,0,0.0421273448444,2.59237825222,0.166666666667,0.252764069067
2,20,False,8,1,0.0724619131975,-1.0209877893,0.125,0.57969530558
3,20,False,9,1,0.0867006988458,-2.64703074715,0.111111111111,0.780306289612
4,20,False,11,5,0.0705410534447,-1.97817835254,0.0909090909091,0.775951587892
5,20,False,11,6,0.0744520655299,-3.13373696987,0.0909090909091,0.818972720829
0,25,True,4,0,0.0240615314043,-0.576169259063,0.25,0.0962461256173
1,25,True,6,0,0.0431863980864,2.36694966235,0.166666666667,0.259118388519
2,25,False,9,1,0.13226690382,3.07826684747,0.111111111111,1.19040213438
3,25,False,7,2,0.110039195562,-1.80539157534,0.142857142857,0.770274368931
0,30,True,4,0,0.0356855636965,-0.747212274584,0.25,0.142742254786
1,30,True,6,0,0.0448268566101,2.01771103878,0.166666666667,0.26896113966
2,30,False,11,0,0.128708710552,0.803626982347,0.0909090909091,1.41579581607
3,30,False,8,1,0.131702110211,-1.90853682727,0.125,1.05361688169
4,30,False,9,1,0.160286415361,2.34235996574,0.111111111111,1.44257773825
5,30,False,7,2,0.155916290034,-2.23252671208,0.142857142857,1.09141403024
0,35,True,4,0,0.0487783833714,-0.893395956772,0.25,0.195113533485
1,35,True,6,0,0.0381072553095,1.34773642206,0.166666666667,0.228643531857
2,35,False,8,1,0.172503912956,-2.43663922535,0.125,1.38003130365
3,35,False,9,1,0.201713503246,1.72128710959,0.111111111111,1.81542152921
4,35,False,7,2,0.194473226135,-2.72111414427,0.142857142857,1.36131258294
0,40,True,4,0,0.0538273284978,-1.17724006658,0.25,0.215309313991
1,40,True,6,0,0.0498217519775,0.672530541629,0.166666666667,0.298930511865
2,40,False,8,1,0.205270176259,-2.88292457417,0.125,1.64216141007
3,40,False,9,1,0.238603408153,1.19253107194,0.111111111111,2.14743067337
