,Time,Dominant Freq.,X,Y,Amplitude,Phase,Wavelength,Amp/Wave
0,1,False,240,0,7.15000237849e-05,-1.66004465008,0.00416666666667,0.0171600057084
1,1,False,97,3,7.08209872285e-05,-0.358868801775,0.0103092783505,0.00686963576116
2,1,False,266,6,7.07947607691e-05,-0.220298665037,0.00375939849624,0.0188314063646
3,1,False,94,7,7.67660784196e-05,-2.95795439025,0.0106382978723,0.00721601137145
4,1,False,91,9,7.69232030396e-05,1.01042364422,0.010989010989,0.00700001147661
5,1,False,66,10,7.86319378495e-05,-0.712137950116,0.0151515151515,0.00518970789807
6,1,False,88,13,7.13165494204e-05,-1.5665548045,0.0113636363636,0.00627585634899
7,1,False,111,14,7.62830590881e-05,2.60177694651,0.00900900900901,0.00846741955878
8,1,False,267,16,7.37456944588e-05,1.95145418803,0.00374531835206,0.0196901004205
9,1,False,75,17,7.31910476766e-05,1.14557991747,0.0133333333333,0.00548932857575
10,1,False,92,24,7.360728456e-05,0.423918057562,0.0108695652174,0.00677187017952
11,1,False,111,26,7.1515166063e-05,0.3706980486,0.00900900900901,0.00793818343299
12,1,False,108,28,7.44745622506e-05,-1.96941671197,0.00925925925926,0.00804325272306
13,1,False,79,30,7.15684207077e-05,-2.93519438868,0.0126582278481,0.00565390523591
14,1,False,105,30,7.22377591862e-05,1.79654919861,0.00952380952381,0.00758496471455
15,1,False,153,30,7.36889291373e-05,2.14155384794,0.00653594771242,0.011274406158
16,1,False,76,32,8.08329523021e-05,0.706358337082,0.0131578947368,0.00614330437496
17,1,False,92,36,7.18903478922e-05,-1.90983636201,0.0108695652174,0.00661391200608
18,1,False,266,40,7.26821419067e-05,-0.728069604538,0.00375939849624,0.0193334497472
19,1,False,86,42,7.25355789884e-05,-0.558408561867,0.0116279069767,0.00623805979301
20,1,False,76,44,7.67035889032e-05,-1.65649164824,0.0131578947368,0.00582947275664
21,1,False,99,45,7.94048796751e-05,2.48009123975,0.010101010101,0.00786108308783
22,1,False,292,50,7.792467491e-05,2.5001244493,0.00342465753425,0.0227540050737
23,1,False,93,51,7.62954210776e-05,-2.349265788,0.010752688172,0.00709547416022
24,1,False,68,56,7.4497904942e-05,-1.15968849709,0.0147058823529,0.00506585753606
25,1,False,77,59,7.61481479807e-05,-2.41641698244,0.012987012987,0.00586340739452
26,1,False,85,59,7.17363818912e-05,0.375182320147,0.0117647058824,0.00609759246075
27,1,False,92,59,7.16874592173e-05,-0.940968093087,0.0108695652174,0.006595246248
28,1,False,91,69,7.96211694625e-05,0.435144107931,0.010989010989,0.00724552642109
29,1,False,77,71,7.13819914601e-05,1.34559954033,0.012987012987,0.00549641334243
30,1,False,63,73,7.2767372996e-05,1.86063371992,0.015873015873,0.00458434449875
31,1,False,111,73,7.98656313721e-05,1.46267688664,0.00900900900901,0.0088650850823
32,1,False,86,74,7.58120837666e-05,-0.318078181339,0.0116279069767,0.00651983920392
33,1,False,85,75,7.37077890055e-05,2.13511885168,0.0117647058824,0.00626516206547
34,1,False,69,78,7.09161471236e-05,-1.555164367,0.0144927536232,0.00489321415153
35,1,False,86,86,7.13519891452e-05,-2.63674528047,0.0116279069767,0.00613627106649
36,1,False,83,88,7.58717027252e-05,1.27621228559,0.0120481927711,0.00629735132619
37,1,False,65,90,7.46849908159e-05,-2.66485129955,0.0153846153846,0.00485452440303
38,1,False,80,90,7.58234552739e-05,-1.37643589551,0.0125,0.00606587642191
39,1,False,113,90,7.25234227312e-05,-2.64759907466,0.00884955752212,0.00819514676863
40,1,False,62,92,7.06291899693e-05,1.66331719153,0.0161290322581,0.00437900977809
41,1,False,102,93,7.34606896275e-05,-1.88910207248,0.00980392156863,0.00749299034201
42,1,False,262,94,7.4192520525e-05,2.1005781609,0.00381679389313,0.0194384403776
43,1,False,59,96,7.42220131653e-05,-1.24217026048,0.0169491525424,0.00437909877675
44,1,False,74,96,7.61055374245e-05,0.192028938584,0.0135135135135,0.00563180976941
45,1,False,94,100,7.75565949173e-05,1.64530294447,0.0106382978723,0.00729031992222
46,1,False,69,101,7.42738773983e-05,-0.292292930628,0.0144927536232,0.00512489754048
47,1,False,91,104,7.17329681521e-05,-0.983990234013,0.010989010989,0.00652770010184
48,1,False,88,106,7.57306028054e-05,3.01432870082,0.0113636363636,0.00666429304687
49,1,False,63,107,7.49089111121e-05,1.19340696932,0.015873015873,0.00471926140006
50,1,False,96,108,7.50088968173e-05,-1.33073785359,0.0104166666667,0.00720085409446
51,1,False,97,109,7.1256831435e-05,1.81690204635,0.0103092783505,0.0069119126492
52,1,False,68,111,7.82531236094e-05,1.02325757081,0.0147058823529,0.00532121240544
53,1,False,101,112,7.45925015023e-05,-2.16374410915,0.00990099009901,0.00753384265173
54,1,False,116,112,7.31001081104e-05,-0.511942248431,0.00862068965517,0.0084796125408
55,1,False,72,114,8.07425257377e-05,3.07641035696,0.0138888888889,0.00581346185312
56,1,False,62,117,7.31340415681e-05,2.58382169151,0.0161290322581,0.00453431057722
57,1,False,81,117,7.14127482233e-05,1.81007305264,0.0123456790123,0.00578443260609
58,1,False,111,119,7.08699967362e-05,-1.39010388307,0.00900900900901,0.00786656963771
59,1,False,66,120,7.26536851923e-05,-1.68106570472,0.0151515151515,0.00479514322269
60,1,False,75,123,7.5810335198e-05,-2.90858496258,0.0133333333333,0.00568577513985
61,1,False,90,123,7.4792896963e-05,-1.26473986344,0.0111111111111,0.00673136072667
62,1,False,105,123,7.0976632953e-05,0.681193057835,0.00952380952381,0.00745254646006
63,1,False,81,129,7.06127531157e-05,-0.970593672085,0.0123456790123,0.00571963300237
64,1,False,118,129,7.88268560255e-05,1.55600302065,0.00847457627119,0.009301569011
65,1,False,89,133,8.82106753752e-05,0.0749028532248,0.0112359550562,0.0078507501084
66,1,False,64,134,7.22130409988e-05,-1.78503355844,0.015625,0.00462163462392
67,1,False,86,135,7.11498391662e-05,-2.4705122556,0.0116279069767,0.0061188861683
68,1,False,93,145,7.50979037786e-05,1.13052350534,0.010752688172,0.00698410505141
69,1,False,77,153,7.22076449763e-05,1.57106792318,0.012987012987,0.00555998866317
70,1,False,273,155,7.14532863694e-05,-2.00412193166,0.003663003663,0.0195067471789
71,1,False,94,160,7.19916024282e-05,0.631865576428,0.0106382978723,0.00676721062825
72,1,False,95,162,8.58259567816e-05,-2.99730005565,0.0105263157895,0.00815346589425
73,1,False,63,166,7.37959636105e-05,0.218621876443,0.015873015873,0.00464914570746
74,1,False,72,169,8.10721855492e-05,-1.24914733371,0.0138888888889,0.00583719735954
75,1,False,94,172,8.28826567604e-05,-1.58773992281,0.0106382978723,0.00779096973547
76,1,False,118,175,7.35846830844e-05,-0.938842578617,0.00847457627119,0.00868299260396
77,1,False,73,176,7.8005800457e-05,-1.42048599217,0.013698630137,0.00569442343336
78,1,False,70,178,7.76422580075e-05,2.62877366617,0.0142857142857,0.00543495806053
79,1,False,65,183,7.5908813433e-05,2.00127435524,0.0153846153846,0.00493407287315
80,1,False,96,189,7.30170035756e-05,0.39597679891,0.0104166666667,0.00700963234325
81,1,False,93,191,7.26688178471e-05,-1.96965091179,0.010752688172,0.00675820005978
82,1,False,64,193,7.47484132522e-05,-2.77563525018,0.015625,0.00478389844814
83,1,False,379,195,7.12233238639e-05,-1.5615537473,0.00263852242744,0.0269936397444
84,1,False,58,199,7.33140684783e-05,-1.26298625133,0.0172413793103,0.00425221597174
0,2,False,71,5,0.000135804971021,-0.532812805314,0.0140845070423,0.00964215294249
1,2,False,51,10,0.000138917195577,-3.05547300355,0.0196078431373,0.00708477697444
2,2,False,75,17,0.000160280936332,0.649635259754,0.0133333333333,0.0120210702249
3,2,False,62,23,0.000136260168558,-2.26520487913,0.0161290322581,0.00844813045058
