,Time,Dominant,X,Y,Amplitude,Phase,PhaseVelocity,Wavelength,Amp/Wave
0,10,False,1,0,1.74219788575,3.14259087405,-0.000423776729446,1.0,1.74219788575
1,20,False,1,0,1.73707098824,3.13733133196,-0.00052595420939,1.0,1.73707098824
2,30,False,1,0,1.73404218819,3.13201704203,-0.00053142899304,1.0,1.73404218819
3,40,False,1,0,1.73273872712,3.12723365295,-0.000478338907519,1.0,1.73273872712
4,50,False,1,0,1.73124475549,3.12241399733,-0.000481965562588,1.0,1.73124475549
5,60,False,1,0,1.72965658386,3.11752864325,-0.000488535407334,1.0,1.72965658386
6,70,False,1,0,1.72796365402,3.11236122823,-0.000516741502432,1.0,1.72796365402
7,80,False,1,0,1.72573001316,3.10728825888,-0.000507296935185,1.0,1.72573001316
8,90,False,1,0,1.72398887239,3.10264016533,-0.000464809354258,1.0,1.72398887239
9,100,False,1,0,1.72216272026,3.09806937637,-0.000457078895981,1.0,1.72216272026
10,110,False,1,0,1.72036247944,3.09389750959,-0.000417186678862,1.0,1.72036247944
11,120,False,1,0,1.71944127672,3.08965065952,-0.000424685006234,1.0,1.71944127672
12,130,False,1,0,1.7189537191,3.08535950098,-0.000429115853969,1.0,1.7189537191
13,140,False,1,0,1.71882915089,3.08109019306,-0.000426930792405,1.0,1.71882915089
14,150,False,1,0,1.71887211192,3.07660680766,-0.000448338539833,1.0,1.71887211192
15,160,False,1,0,1.71900994418,3.07148736163,-0.000511944603438,1.0,1.71900994418
16,170,False,1,0,1.71929596204,3.06607671279,-0.000541064883248,1.0,1.71929596204
17,180,False,1,0,1.71947998406,3.06030079551,-0.00057759172805,1.0,1.71947998406
18,190,False,1,0,1.71978438261,3.05442801648,-0.000587277903682,1.0,1.71978438261
19,200,False,1,0,1.71989849116,3.04843525159,-0.000599276488433,1.0,1.71989849116
20,210,False,1,0,1.72003829096,3.04244782139,-0.000598743020716,1.0,1.72003829096
21,220,False,1,0,1.71998162613,3.03656248214,-0.00058853392495,1.0,1.71998162613
