,Time,Dominant,X,Y,Amplitude,Phase,PhaseVelocity,Wavelength,Amp/Wave
0,10,False,1,0,1.74188696688,3.14252799931,-0.000430064203758,1.0,1.74188696688
1,20,False,1,0,1.73673519935,3.13736387355,-0.000516412576298,1.0,1.73673519935
2,30,False,1,0,1.73391357165,3.13215357907,-0.000521029447071,1.0,1.73391357165
3,40,False,1,0,1.73268648757,3.12733905177,-0.000481452730403,1.0,1.73268648757
4,50,False,1,0,1.73123101603,3.12261732242,-0.000472172935413,1.0,1.73123101603
5,60,False,1,0,1.72969499723,3.11794952921,-0.000466779321061,1.0,1.72969499723
6,70,False,1,0,1.72789461871,3.11313128588,-0.000481824332941,1.0,1.72789461871
7,80,False,1,0,1.72621479326,3.10841352992,-0.000471775595464,1.0,1.72621479326
8,90,False,1,0,1.72460727089,3.10342619055,-0.000498733937147,1.0,1.72460727089
9,100,False,1,0,1.72306698726,3.09884417255,-0.000458201800053,1.0,1.72306698726
10,110,False,1,0,1.72179505369,3.09458563535,-0.000425853720206,1.0,1.72179505369
11,120,False,1,0,1.72069043173,3.09019701193,-0.000438862341469,1.0,1.72069043173
12,130,False,1,0,1.72028412064,3.08608344498,-0.000411356694901,1.0,1.72028412064
13,140,False,1,0,1.72000820639,3.08177328839,-0.000431015659501,1.0,1.72000820639
14,150,False,1,0,1.71990900133,3.07715277246,-0.000462051592954,1.0,1.71990900133
15,160,False,1,0,1.72003599656,3.07207283181,-0.000507994064901,1.0,1.72003599656
16,170,False,1,0,1.72020582292,3.06677412644,-0.000529870536822,1.0,1.72020582292
17,180,False,1,0,1.72039496141,3.0612335446,-0.00055405818376,1.0,1.72039496141
18,190,False,1,0,1.72059583376,3.05558745161,-0.000564609298993,1.0,1.72059583376
19,200,False,1,0,1.72036231781,3.04960250776,-0.00059849438555,1.0,1.72036231781
20,210,False,1,0,1.71987303857,3.04351677447,-0.000608573328839,1.0,1.71987303857
21,220,False,1,0,1.71988673365,3.03753512745,-0.000598164702417,1.0,1.71988673365
22,230,False,1,0,1.71960721337,3.03164472923,-0.000589039821319,1.0,1.71960721337
23,240,False,1,0,1.7188813716,3.02599367008,-0.000565105915453,1.0,1.7188813716
24,250,False,1,0,1.71868108652,3.02076656587,-0.000522710420858,1.0,1.71868108652
25,260,False,1,0,1.71842749848,3.01527179626,-0.00054947696115,1.0,1.71842749848
26,270,False,1,0,1.71842754355,3.00970756612,-0.000556423014215,1.0,1.71842754355
27,280,False,1,0,1.71827491952,3.00386673824,-0.0005840827881,1.0,1.71827491952
28,290,False,1,0,1.71861595886,2.9981013128,-0.00057654254393,1.0,1.71861595886
29,300,False,1,0,1.71858785103,2.99237574407,-0.000572556872307,1.0,1.71858785103
30,310,False,1,0,1.71840585091,2.98662067066,-0.000575507340885,1.0,1.71840585091
31,320,False,1,0,1.71844801356,2.98073910956,-0.000588156110028,1.0,1.71844801356
32,330,False,1,0,1.71836539191,2.97481044074,-0.00059286688253,1.0,1.71836539191
33,340,False,1,0,1.71809730269,2.96881942465,-0.000599101608949,1.0,1.71809730269
34,350,False,1,0,1.7177991274,2.96278081257,-0.000603861207924,1.0,1.7177991274
35,360,False,1,0,1.71708759163,2.95685094436,-0.000592986821431,1.0,1.71708759163
36,370,False,1,0,1.71673545582,2.95116255763,-0.00056883867271,1.0,1.71673545582
37,380,False,1,0,1.7164636382,2.94519121037,-0.000597134725499,1.0,1.7164636382
38,390,False,1,0,1.71668753573,2.93915524026,-0.000603597011323,1.0,1.71668753573
39,400,False,1,0,1.71655040346,2.93307141486,-0.000608382539633,1.0,1.71655040346
40,410,False,1,0,1.71696351537,2.92691738418,-0.000615403068882,1.0,1.71696351537
41,420,False,1,0,1.71688412067,2.92063912089,-0.000627826328939,1.0,1.71688412067
42,430,False,1,0,1.71650933385,2.91438237457,-0.000625674632078,1.0,1.71650933385
43,440,False,1,0,1.7163961006,2.90812518442,-0.000625719014443,1.0,1.7163961006
44,450,False,1,0,1.71594785134,2.90167059193,-0.00064545924931,1.0,1.71594785134
45,460,False,1,0,1.71552036398,2.89530751924,-0.0006363072685,1.0,1.71552036398
46,470,False,1,0,1.71431395965,2.88901252538,-0.000629499386108,1.0,1.71431395965
47,480,False,1,0,1.7141458048,2.88300072905,-0.000601179632965,1.0,1.7141458048
48,490,False,1,0,1.71313146139,2.87694038188,-0.000606034717032,1.0,1.71313146139
49,500,False,1,0,1.71216741454,2.87104066865,-0.000589971322732,1.0,1.71216741454
