,Time,Dominant,X,Y,Amplitude,Phase,PhaseVelocity,Wavelength,Amp/Wave
0,10,False,1,0,1.74212837988,3.14248612999,-0.00043425113532,1.0,1.74212837988
1,20,False,1,0,1.7368198622,3.13708600274,-0.000540012725383,1.0,1.7368198622
2,30,False,1,0,1.73399657294,3.13172114717,-0.000536485557035,1.0,1.73399657294
3,40,False,1,0,1.73213189265,3.12678232386,-0.000493882330785,1.0,1.73213189265
4,50,False,1,0,1.73078421643,3.12191246352,-0.000486986033935,1.0,1.73078421643
5,60,False,1,0,1.72918069986,3.11705958654,-0.000485287698438,1.0,1.72918069986
6,70,False,1,0,1.72738437824,3.11202310043,-0.000503648610429,1.0,1.72738437824
7,80,False,1,0,1.72589701125,3.10712408672,-0.00048990137087,1.0,1.72589701125
8,90,False,1,0,1.72422322365,3.10214576837,-0.000497831835249,1.0,1.72422322365
9,100,False,1,0,1.72260535166,3.09744755486,-0.000469821350866,1.0,1.72260535166
10,110,False,1,0,1.7213963696,3.09301411429,-0.000443344056907,1.0,1.7213963696
11,120,False,1,0,1.72073283673,3.0884528273,-0.000456128699391,1.0,1.72073283673
12,130,False,1,0,1.72072144438,3.08395334591,-0.000449948138807,1.0,1.72072144438
13,140,False,1,0,1.72057682191,3.07927027171,-0.000468307420055,1.0,1.72057682191
14,150,False,1,0,1.72089004818,3.07456136904,-0.000470890267504,1.0,1.72089004818
15,160,False,1,0,1.72120356304,3.06934500941,-0.000521635962309,1.0,1.72120356304
16,170,False,1,0,1.72176083442,3.06382590717,-0.000551910224565,1.0,1.72176083442
17,180,False,1,0,1.72190698586,3.05789692684,-0.000592898032493,1.0,1.72190698586
18,190,False,1,0,1.72243060162,3.05203406077,-0.000586286606771,1.0,1.72243060162
19,200,False,1,0,1.7226348503,3.0458959437,-0.000613811707093,1.0,1.7226348503
20,210,False,1,0,1.72260138151,3.03951570906,-0.000638023463955,1.0,1.72260138151
21,220,False,1,0,1.72263781769,3.03323857425,-0.000627713480923,1.0,1.72263781769
22,230,False,1,0,1.72209331659,3.02704186545,-0.000619670880934,1.0,1.72209331659
23,240,False,1,0,1.7216868744,3.02093043308,-0.000611143236553,1.0,1.7216868744
24,250,False,1,0,1.72103628599,3.01504775433,-0.000588267875124,1.0,1.72103628599
25,260,False,1,0,1.72076186334,3.00898906495,-0.000605868938083,1.0,1.72076186334
26,270,False,1,0,1.72014463622,3.00310287909,-0.000588618585535,1.0,1.72014463622
27,280,False,1,0,1.71986167544,2.99746048413,-0.000564239495948,1.0,1.71986167544
28,290,False,1,0,1.71964446993,2.99192490581,-0.00055355783191,1.0,1.71964446993
29,300,False,1,0,1.71948416091,2.98631941605,-0.000560548976585,1.0,1.71948416091
30,310,False,1,0,1.71992377264,2.9805118046,-0.00058076114483,1.0,1.71992377264
31,320,False,1,0,1.72015841095,2.97473672219,-0.000577508241126,1.0,1.72015841095
32,330,False,1,0,1.7202005624,2.96862012087,-0.000611660132277,1.0,1.7202005624
33,340,False,1,0,1.7203413949,2.96227885389,-0.000634126698041,1.0,1.7203413949
34,350,False,1,0,1.72016052034,2.95598319626,-0.000629565762877,1.0,1.72016052034
35,360,False,1,0,1.7197710545,2.94969349103,-0.000628970522785,1.0,1.7197710545
36,370,False,1,0,1.71900511901,2.94332463951,-0.000636885151723,1.0,1.71900511901
37,380,False,1,0,1.718200832,2.93695093068,-0.000637370883537,1.0,1.718200832
38,390,False,1,0,1.71770523822,2.93075758789,-0.00061933427864,1.0,1.71770523822
39,400,False,1,0,1.7168406041,2.92451530203,-0.000624228585794,1.0,1.7168406041
40,410,False,1,0,1.71597719025,2.9183139402,-0.000620136183534,1.0,1.71597719025
41,420,False,1,0,1.71550533019,2.91209749639,-0.000621644380213,1.0,1.71550533019
42,430,False,1,0,1.71530546192,2.90592923278,-0.000616826361127,1.0,1.71530546192
43,440,False,1,0,1.71501660244,2.89933794801,-0.000659128477757,1.0,1.71501660244
44,450,False,1,0,1.71441202336,2.8928313897,-0.000650655830782,1.0,1.71441202336
45,460,False,1,0,1.71401980308,2.88623299854,-0.000659839116081,1.0,1.71401980308
46,470,False,1,0,1.71361337943,2.87983862908,-0.000639436946179,1.0,1.71361337943
47,480,False,1,0,1.71319445502,2.8735810339,-0.000625759517811,1.0,1.71319445502
48,490,False,1,0,1.71274454439,2.86733274228,-0.000624829161858,1.0,1.71274454439
49,500,False,1,0,1.71227468157,2.86120002406,-0.000613271821989,1.0,1.71227468157
50,510,False,1,0,1.71186976197,2.85501986548,-0.00061801585807,1.0,1.71186976197
51,520,False,1,0,1.71180832398,2.84878081631,-0.000623904916314,1.0,1.71180832398
52,530,False,1,0,1.71172889637,2.84256049268,-0.000622032363886,1.0,1.71172889637
53,540,False,1,0,1.71142312676,2.83634652766,-0.000621396501277,1.0,1.71142312676
54,550,False,1,0,1.71159877772,2.83002954056,-0.00063169871044,1.0,1.71159877772
55,560,False,1,0,1.71147852692,2.82362719857,-0.000640234198891,1.0,1.71147852692
56,570,False,1,0,1.71154814102,2.81707873411,-0.000654846445491,1.0,1.71154814102
57,580,False,1,0,1.71161095176,2.81034643401,-0.000673230010832,1.0,1.71161095176
58,590,False,1,0,1.71143049036,2.80348759778,-0.000685883622218,1.0,1.71143049036
59,600,False,1,0,1.71131309821,2.79652893355,-0.000695866423098,1.0,1.71131309821
60,610,False,1,0,1.71103967659,2.78987075479,-0.000665817876789,1.0,1.71103967659
61,620,False,1,0,1.71050444933,2.78288153791,-0.000698921687145,1.0,1.71050444933
62,630,False,1,0,1.71040293263,2.77622703344,-0.000665450447855,1.0,1.71040293263
63,640,False,1,0,1.70988239122,2.76969819781,-0.000652883562127,1.0,1.70988239122
64,650,False,1,0,1.70976502861,2.76309301612,-0.00066051816918,1.0,1.70976502861
65,660,False,1,0,1.70956306173,2.75651044116,-0.000658257496388,1.0,1.70956306173
66,670,False,1,0,1.70954448949,2.75027371584,-0.000623672532088,1.0,1.70954448949
67,680,False,1,0,1.70958059898,2.74373406787,-0.000653964796975,1.0,1.70958059898
68,690,False,1,0,1.70941737178,2.73723648284,-0.000649758502404,1.0,1.70941737178
69,700,False,1,0,1.70902804315,2.73044229156,-0.000679419128319,1.0,1.70902804315
70,710,False,1,0,1.70857402902,2.72376083736,-0.0006681454205,1.0,1.70857402902
71,720,False,1,0,1.70839720961,2.71671088791,-0.000704994944882,1.0,1.70839720961
72,730,False,1,0,1.70774313257,2.70978193315,-0.000692895475217,1.0,1.70774313257
73,740,False,1,0,1.70698216201,2.70279374933,-0.000698818382248,1.0,1.70698216201
74,750,False,1,0,1.70621658539,2.69599920246,-0.00067945468714,1.0,1.70621658539
75,760,False,1,0,1.70520417662,2.68922344617,-0.000677575628623,1.0,1.70520417662
76,770,False,1,0,1.70422858097,2.68278261248,-0.000644083369124,1.0,1.70422858097
77,780,False,1,0,1.7032004303,2.67628300884,-0.000649960364053,1.0,1.7032004303
78,790,False,1,0,1.70209302835,2.66975428338,-0.000652872546789,1.0,1.70209302835
79,800,False,1,0,1.70098714869,2.66319893505,-0.00065553483294,1.0,1.70098714869
80,810,False,1,0,1.70042848966,2.65663015269,-0.000656878235395,1.0,1.70042848966
81,820,False,1,0,1.6995694012,2.65002588742,-0.000660426527187,1.0,1.6995694012
82,830,False,1,0,1.69894862159,2.64323889271,-0.000678699470646,1.0,1.69894862159
83,840,False,1,0,1.69862752193,2.6364850103,-0.000675388241593,1.0,1.69862752193
84,850,False,1,0,1.69790748636,2.6296853773,-0.000679963299819,1.0,1.69790748636
85,860,False,1,0,1.6972224561,2.62293840885,-0.000674696845063,1.0,1.6972224561
86,870,False,1,0,1.6962776737,2.61601378602,-0.00069246228317,1.0,1.6962776737
87,880,False,1,0,1.6956885186,2.60953825838,-0.000647552763657,1.0,1.6956885186
88,890,False,1,0,1.69495872905,2.60290952511,-0.000662873327204,1.0,1.69495872905
89,900,False,1,0,1.69418263079,2.596328901,-0.000658062410497,1.0,1.69418263079
90,910,False,1,0,1.69334710013,2.5897329533,-0.000659594770746,1.0,1.69334710013
91,920,False,1,0,1.693382607,2.5832122695,-0.000652068380053,1.0,1.693382607
92,930,False,1,0,1.69247909468,2.57667146102,-0.000654080847858,1.0,1.69247909468
93,940,False,1,0,1.6926009241,2.57002184398,-0.000664961704132,1.0,1.6926009241
94,950,False,1,0,1.69220874852,2.56317540903,-0.000684643494664,1.0,1.69220874852
95,960,False,1,0,1.69237023392,2.55642260389,-0.000675280514209,1.0,1.69237023392
96,970,False,1,0,1.69228428857,2.54987565714,-0.000654694674591,1.0,1.69228428857
97,980,False,1,0,1.69260886127,2.54291241859,-0.000696323855034,1.0,1.69260886127
98,990,False,1,0,1.69284392242,2.53604879682,-0.000686362176618,1.0,1.69284392242
99,1000,False,1,0,1.69306670157,2.52896186233,-0.000708693449718,1.0,1.69306670157
100,1010,False,1,0,1.69312182391,2.52181982116,-0.00071420411668,1.0,1.69312182391
101,1020,False,1,0,1.69363861255,2.51479600588,-0.000702381528506,1.0,1.69363861255
102,1030,False,1,0,1.69382390091,2.50787479815,-0.000692120772384,1.0,1.69382390091
103,1040,False,1,0,1.69415313914,2.50092952061,-0.000694527754318,1.0,1.69415313914
104,1050,False,1,0,1.69446260481,2.49370531888,-0.000722420172964,1.0,1.69446260481
105,1060,False,1,0,1.69485973903,2.48656748362,-0.000713783526136,1.0,1.69485973903
106,1070,False,1,0,1.6952361601,2.47956705331,-0.000700043030854,1.0,1.6952361601
107,1080,False,1,0,1.69585962067,2.47250253861,-0.000706451469939,1.0,1.69585962067
108,1090,False,1,0,1.69650873434,2.46517420737,-0.000732833123588,1.0,1.69650873434
109,1100,False,1,0,1.69724626545,2.45799136235,-0.000718284502674,1.0,1.69724626545
110,1110,False,1,0,1.69784515873,2.45076493827,-0.00072264240781,1.0,1.69784515873
111,1120,False,1,0,1.69835644056,2.4431134542,-0.000765148406619,1.0,1.69835644056
