,Time,Dominant,X,Y,Amplitude,Phase,PhaseVelocity,Wavelength,Amp/Wave
0,10,False,1,0,1.74217683067,3.14264504617,-0.000418359517534,1.0,1.74217683067
1,20,False,1,0,1.73696748,3.1374614422,-0.000518360397533,1.0,1.73696748
2,30,False,1,0,1.73406914423,3.13232895223,-0.000513248996493,1.0,1.73406914423
3,40,False,1,0,1.73286726788,3.12754891657,-0.000478003565974,1.0,1.73286726788
4,50,False,1,0,1.73129301668,3.12281972229,-0.000472919427904,1.0,1.73129301668
5,60,False,1,0,1.72984632495,3.11795507287,-0.000486464941836,1.0,1.72984632495
6,70,False,1,0,1.72791656281,3.11300565372,-0.000494941915605,1.0,1.72791656281
7,80,False,1,0,1.72583850128,3.10793773276,-0.00050679209568,1.0,1.72583850128
8,90,False,1,0,1.72436166752,3.10311723867,-0.000482049408728,1.0,1.72436166752
9,100,False,1,0,1.72302568738,3.09845438916,-0.000466284951229,1.0,1.72302568738
10,110,False,1,0,1.72148071938,3.09424987245,-0.000420451671329,1.0,1.72148071938
11,120,False,1,0,1.72066950666,3.08982391089,-0.000442596155418,1.0,1.72066950666
12,130,False,1,0,1.72004301505,3.08553460204,-0.000428930885811,1.0,1.72004301505
13,140,False,1,0,1.71971140513,3.08126111471,-0.000427348732881,1.0,1.71971140513
14,150,False,1,0,1.71961953374,3.07691436237,-0.000434675233909,1.0,1.71961953374
15,160,False,1,0,1.71972914481,3.07180790371,-0.000510645865527,1.0,1.71972914481
16,170,False,1,0,1.71943538362,3.06608445952,-0.00057234441892,1.0,1.71943538362
17,180,False,1,0,1.71957270402,3.06051372401,-0.000557073551569,1.0,1.71957270402
18,190,False,1,0,1.71979048945,3.05494246586,-0.000557125814469,1.0,1.71979048945
19,200,False,1,0,1.71971050367,3.04888673706,-0.000605572880068,1.0,1.71971050367
20,210,False,1,0,1.71918446927,3.04282820289,-0.00060585341762,1.0,1.71918446927
21,220,False,1,0,1.71922164576,3.03686417079,-0.000596403209226,1.0,1.71922164576
22,230,False,1,0,1.71883518875,3.03089042643,-0.000597374436603,1.0,1.71883518875
23,240,False,1,0,1.71833305185,3.02527335217,-0.000561707425707,1.0,1.71833305185
24,250,False,1,0,1.71816386149,3.01983755668,-0.000543579548614,1.0,1.71816386149
25,260,False,1,0,1.71792402395,3.01430186609,-0.000553569059538,1.0,1.71792402395
26,270,False,1,0,1.71798174054,3.00857660236,-0.000572526372993,1.0,1.71798174054
27,280,False,1,0,1.7174921475,3.00296807752,-0.000560852484142,1.0,1.7174921475
28,290,False,1,0,1.71753896361,2.99721517056,-0.000575290695355,1.0,1.71753896361
29,300,False,1,0,1.71770351913,2.99149073195,-0.000572443861517,1.0,1.71770351913
30,310,False,1,0,1.71757529795,2.98569465867,-0.000579607327661,1.0,1.71757529795
31,320,False,1,0,1.71732661994,2.97985987278,-0.000583478588833,1.0,1.71732661994
32,330,False,1,0,1.71728195701,2.97403381381,-0.000582605897072,1.0,1.71728195701
33,340,False,1,0,1.71712221162,2.96807094365,-0.000596287016549,1.0,1.71712221162
34,350,False,1,0,1.71676324542,2.96192181955,-0.000614912409574,1.0,1.71676324542
35,360,False,1,0,1.71658322176,2.95569075677,-0.00062310627858,1.0,1.71658322176
36,370,False,1,0,1.71609766631,2.94964283579,-0.000604792097752,1.0,1.71609766631
37,380,False,1,0,1.71584475965,2.94355799228,-0.000608484350638,1.0,1.71584475965
38,390,False,1,0,1.71550062282,2.9374355421,-0.000612245017875,1.0,1.71550062282
39,400,False,1,0,1.71530150822,2.93120289114,-0.000623265096166,1.0,1.71530150822
40,410,False,1,0,1.71493645579,2.92498343695,-0.000621945419152,1.0,1.71493645579
41,420,False,1,0,1.71474059941,2.91883518936,-0.000614824759115,1.0,1.71474059941
42,430,False,1,0,1.71470017769,2.91275051131,-0.000608467805302,1.0,1.71470017769
43,440,False,1,0,1.71456576158,2.90658858822,-0.000616192308753,1.0,1.71456576158
44,450,False,1,0,1.71475680778,2.90053253645,-0.000605605177056,1.0,1.71475680778
45,460,False,1,0,1.71489709589,2.89433184106,-0.000620069538812,1.0,1.71489709589
46,470,False,1,0,1.71518371252,2.88800269278,-0.00063291482812,1.0,1.71518371252
47,480,False,1,0,1.71547529837,2.88154027123,-0.000646242155245,1.0,1.71547529837
48,490,False,1,0,1.71563977737,2.87507133286,-0.000646893836779,1.0,1.71563977737
49,500,False,1,0,1.71578940586,2.86861497876,-0.000645635409907,1.0,1.71578940586
50,510,False,1,0,1.71581440942,2.86231559016,-0.000629938859793,1.0,1.71581440942
51,520,False,1,0,1.71547890002,2.85579722656,-0.000651836360082,1.0,1.71547890002
52,530,False,1,0,1.71504255356,2.84914727753,-0.00066499490279,1.0,1.71504255356
53,540,False,1,0,1.71467473704,2.84265835865,-0.000648891887978,1.0,1.71467473704
54,550,False,1,0,1.71363219702,2.83602150101,-0.000663685763809,1.0,1.71363219702
55,560,False,1,0,1.71283041004,2.82932337974,-0.000669812127452,1.0,1.71283041004
56,570,False,1,0,1.71210400997,2.82278267682,-0.000654070291734,1.0,1.71210400997
57,580,False,1,0,1.71131119899,2.81628503689,-0.000649763993008,1.0,1.71131119899
58,590,False,1,0,1.71060515815,2.8102102384,-0.000607479849592,1.0,1.71060515815
59,600,False,1,0,1.70992281647,2.80409434799,-0.00061158904054,1.0,1.70992281647
