,Time,Dominant,X,Y,Amplitude,Phase,PhaseVelocity,Wavelength,Amp/Wave
0,10,False,1,0,1.74223094064,3.14262174907,-0.000420689227442,1.0,1.74223094064
1,20,False,1,0,1.73671954498,3.1373924496,-0.000522929946837,1.0,1.73671954498
2,30,False,1,0,1.73385269272,3.13197202659,-0.000542042301522,1.0,1.73385269272
3,40,False,1,0,1.73232250725,3.12708469261,-0.00048873339799,1.0,1.73232250725
4,50,False,1,0,1.73071331878,3.1222075388,-0.000487715380367,1.0,1.73071331878
5,60,False,1,0,1.72912383765,3.11725400672,-0.000495353208832,1.0,1.72912383765
6,70,False,1,0,1.72715856712,3.11238598892,-0.000486801779935,1.0,1.72715856712
7,80,False,1,0,1.72547297703,3.10754116565,-0.0004844823264,1.0,1.72547297703
8,90,False,1,0,1.72338163239,3.10290263504,-0.00046385306148,1.0,1.72338163239
9,100,False,1,0,1.72151118767,3.09820783606,-0.000469479897379,1.0,1.72151118767
10,110,False,1,0,1.71998294272,3.09405085788,-0.000415697818048,1.0,1.71998294272
11,120,False,1,0,1.7186989799,3.09004038991,-0.000401046797796,1.0,1.7186989799
12,130,False,1,0,1.71822129425,3.08597496375,-0.000406542616003,1.0,1.71822129425
13,140,False,1,0,1.71757897806,3.08171858246,-0.000425638128187,1.0,1.71757897806
14,150,False,1,0,1.71744565473,3.07757334876,-0.000414523369937,1.0,1.71744565473
15,160,False,1,0,1.71739255319,3.07262342764,-0.000494992112114,1.0,1.71739255319
16,170,False,1,0,1.71711898761,3.06749255788,-0.000513086976065,1.0,1.71711898761
17,180,False,1,0,1.71747427485,3.06210333424,-0.000538922364284,1.0,1.71747427485
18,190,False,1,0,1.71754164279,3.05664939203,-0.000545394221032,1.0,1.71754164279
19,200,False,1,0,1.71742279933,3.05097744265,-0.00056719493781,1.0,1.71742279933
20,210,False,1,0,1.71722955803,3.04547995773,-0.000549748492221,1.0,1.71722955803
21,220,False,1,0,1.71734156044,3.0399314833,-0.000554847442456,1.0,1.71734156044
22,230,False,1,0,1.71726558713,3.03447059191,-0.000546089139273,1.0,1.71726558713
23,240,False,1,0,1.71731229518,3.02905094281,-0.000541964909961,1.0,1.71731229518
24,250,False,1,0,1.7171346367,3.02341295369,-0.000563798912003,1.0,1.7171346367
