,Time,Dominant Freq.,X,Y,Amplitude,Phase,,Wavelength,Amp/Wave
79,1,FALSE,65,183,7.59E-05,2.001274355,,0.015384615,0.004934073
80,1,FALSE,96,189,7.30E-05,0.395976799,,0.010416667,0.007009632
81,1,FALSE,93,191,7.27E-05,-1.969650912,,0.010752688,0.0067582
82,1,FALSE,64,193,7.47E-05,-2.77563525,,0.015625,0.004783898
83,1,FALSE,379,195,7.12E-05,-1.561553747,,0.002638522,0.02699364
84,1,FALSE,58,199,7.33E-05,-1.262986251,,0.017241379,0.004252216
0,2,FALSE,71,5,0.000135805,-0.532812805,,0.014084507,0.009642153
1,2,FALSE,51,10,0.000138917,-3.055473004,,0.019607843,0.007084777
2,2,FALSE,75,17,0.000160281,0.64963526,,0.013333333,0.01202107
3,2,FALSE,62,23,0.00013626,-2.265204879,,0.016129032,0.00844813
4,2,FALSE,148,31,0.000132953,-2.544754971,,0.006756757,0.019677055
5,2,FALSE,74,36,0.000128723,0.854931369,,0.013513514,0.009525504
6,2,FALSE,53,39,0.000153378,1.928059432,,0.018867925,0.00812902
7,2,FALSE,56,39,0.000140771,-2.51843095,,0.017857143,0.007883151
8,2,FALSE,54,41,0.000148067,-1.791444048,,0.018518519,0.007995599
9,2,FALSE,52,50,0.000129113,2.336865706,,0.019230769,0.006713875
10,2,FALSE,185,50,0.00013122,-0.153511301,,0.005405405,0.024275769
11,2,FALSE,44,58,0.000128896,-0.378225507,,0.022727273,0.005671417
12,2,FALSE,49,62,0.000130257,-1.030250648,,0.020408163,0.006382617
13,2,FALSE,169,113,0.000134604,1.811655809,,0.00591716,0.022748087
0,3,FALSE,150,0,0.000176389,-0.52127982,,0.006666667,0.02645841
1,3,FALSE,48,1,0.00019348,2.785192351,,0.020833333,0.009287059
2,3,FALSE,166,1,0.000219481,-1.62548622,,0.006024096,0.036433903
3,3,FALSE,49,7,0.000189132,2.904258741,,0.020408163,0.009267472
4,3,FALSE,124,8,0.000181511,-0.721964616,,0.008064516,0.022507385
5,3,FALSE,38,14,0.000182583,0.219963975,,0.026315789,0.006938163
6,3,FALSE,160,15,0.000181624,-2.911572111,,0.00625,0.029059841
7,3,FALSE,176,16,0.000178348,2.323132889,,0.005681818,0.031389331
8,3,FALSE,134,17,0.000176412,-1.872159625,,0.007462687,0.023639244
9,3,FALSE,44,24,0.000179275,-0.314930482,,0.022727273,0.007888083
10,3,FALSE,184,26,0.000186044,1.644296649,,0.005434783,0.034232121
11,3,FALSE,76,27,0.000178227,2.978791426,,0.013157895,0.013545288
12,3,FALSE,108,28,0.000182797,-2.227395763,,0.009259259,0.019742115
13,3,FALSE,54,29,0.000177319,0.273293969,,0.018518519,0.0095752
14,3,FALSE,148,31,0.000199593,-2.557752543,,0.006756757,0.029539781
15,3,FALSE,194,38,0.000196296,-0.320234863,,0.005154639,0.038081349
16,3,FALSE,53,39,0.000181022,1.747772332,,0.018867925,0.009594144
17,3,FALSE,176,44,0.000176947,2.177249246,,0.005681818,0.031142636
18,3,FALSE,109,54,0.000191442,0.121266567,,0.009174312,0.020867136
19,3,FALSE,145,55,0.000178243,-1.636472182,,0.006896552,0.025845284
20,3,FALSE,165,55,0.000177684,-3.124800171,,0.006060606,0.029317918
21,3,FALSE,141,61,0.000191154,1.608919191,,0.007092199,0.026952738
22,3,FALSE,144,61,0.000192436,-2.534492572,,0.006944444,0.027710846
23,3,FALSE,163,64,0.000177274,0.755583707,,0.006134969,0.02889562
24,3,FALSE,162,83,0.000177487,1.271397883,,0.00617284,0.028752889
0,4,FALSE,97,3,0.000256396,-0.837710226,,0.010309278,0.024870444
1,4,FALSE,121,6,0.000254602,-1.073700426,,0.008264463,0.03080681
2,4,FALSE,95,8,0.000250008,-0.142013278,,0.010526316,0.023750725
3,4,FALSE,26,10,0.000272615,1.174077497,,0.038461538,0.007087996
4,4,FALSE,98,10,0.000309285,-0.639899905,,0.010204082,0.030309914
5,4,FALSE,151,13,0.000280589,-1.109040646,,0.006622517,0.042368911
6,4,FALSE,38,14,0.000255411,-0.132317994,,0.026315789,0.009705624
7,4,FALSE,119,15,0.000254565,-2.708799658,,0.008403361,0.030293193
8,4,FALSE,81,17,0.000265145,-1.45479917,,0.012345679,0.021476779
9,4,FALSE,93,17,0.000249104,-1.730399739,,0.010752688,0.023166665
10,4,FALSE,98,18,0.00026234,-1.693240861,,0.010204082,0.025709349
11,4,FALSE,106,23,0.000253193,-1.590396274,,0.009433962,0.026838438
12,4,FALSE,34,26,0.000257949,-0.803356861,,0.029411765,0.008770271
13,4,FALSE,105,30,0.000266385,1.073620157,,0.00952381,0.027970378
14,4,FALSE,100,35,0.000251907,0.495444991,,0.01,0.025190673
15,4,FALSE,94,41,0.000249147,2.418929761,,0.010638298,0.023419863
16,4,FALSE,83,44,0.000248494,-2.902914003,,0.012048193,0.02062499
17,4,FALSE,109,54,0.000277435,-0.003183813,,0.009174312,0.030240377
18,4,FALSE,97,56,0.000254812,0.412076992,,0.010309278,0.02471674
0,5,FALSE,67,4,0.000343271,0.018269268,,0.014925373,0.022999147
1,5,FALSE,49,7,0.00034649,2.415020388,,0.020408163,0.016978014
2,5,FALSE,26,10,0.000377223,1.04559934,,0.038461538,0.009807788
3,5,FALSE,29,10,0.000340214,1.894338229,,0.034482759,0.009866205
4,5,FALSE,50,17,0.000339726,-1.348636092,,0.02,0.0169863
5,5,FALSE,67,25,0.000354006,-2.179247971,,0.014925373,0.023718395
6,5,FALSE,63,27,0.000403986,3.131738266,,0.015873016,0.025451092
7,5,FALSE,69,29,0.000422651,1.462830314,,0.014492754,0.029162912
8,5,FALSE,76,44,0.000345177,-1.972326106,,0.013157895,0.02623348
9,5,FALSE,54,46,0.000341586,1.437470462,,0.018518519,0.01844565
10,5,FALSE,108,72,0.000345013,1.762406279,,0.009259259,0.037261368
0,6,FALSE,23,1,0.000425889,1.366972191,,0.043478261,0.009795443
1,6,FALSE,48,1,0.00052735,2.658374768,,0.020833333,0.025312815
2,6,FALSE,60,4,0.000469494,1.493415867,,0.016666667,0.02816964
3,6,FALSE,46,5,0.00043615,2.723483117,,0.02173913,0.020062886
4,6,FALSE,71,5,0.000477094,-0.973480965,,0.014084507,0.033873641
5,6,FALSE,75,5,0.000434839,2.404712987,,0.013333333,0.032612914
6,6,FALSE,50,6,0.000508609,1.175364364,,0.02,0.02543046
7,6,FALSE,26,10,0.000439094,0.950188231,,0.038461538,0.011416433
8,6,FALSE,29,10,0.000475779,1.692288022,,0.034482759,0.013797599
9,6,FALSE,58,17,0.000482533,1.131033061,,0.017241379,0.027986907
10,6,FALSE,65,17,0.000424757,0.342946881,,0.015384615,0.027609177
11,6,FALSE,75,17,0.000528363,-0.030125139,,0.013333333,0.039627247
12,6,FALSE,17,19,0.000459476,0.598969442,,0.058823529,0.007811086
13,6,FALSE,84,19,0.000455219,-1.492691588,,0.011904762,0.038238383
14,6,FALSE,41,23,0.000431856,-0.55045289,,0.024390244,0.017706102
15,6,FALSE,63,27,0.000480935,2.906458719,,0.015873016,0.030298906
16,6,FALSE,69,29,0.000480457,1.195703345,,0.014492754,0.033151542
17,6,FALSE,73,30,0.000434381,-0.23539765,,0.01369863,0.031709819
18,6,FALSE,70,33,0.000452222,-2.726945374,,0.014285714,0.031655521
19,6,FALSE,49,34,0.000439542,-0.556469358,,0.020408163,0.021537575
20,6,FALSE,76,44,0.000447035,-2.212396892,,0.013157895,0.033974667
21,6,FALSE,41,75,0.00042865,2.373915754,,0.024390244,0.017574658
0,7,FALSE,23,1,0.000598137,1.122502059,,0.043478261,0.013757158
1,7,FALSE,48,1,0.000635361,2.524141739,,0.020833333,0.030497319
2,7,FALSE,49,3,0.000523694,-0.416450359,,0.020408163,0.02566102
3,7,FALSE,60,4,0.000592193,1.332795473,,0.016666667,0.035531599
4,7,FALSE,46,5,0.000589238,2.611353469,,0.02173913,0.027104941
5,7,FALSE,50,6,0.000610375,0.875571896,,0.02,0.030518746
6,7,FALSE,68,8,0.000531128,2.127406756,,0.014705882,0.036116677
7,7,FALSE,76,8,0.000520826,-0.960465095,,0.013157895,0.039582813
8,7,FALSE,80,9,0.000551878,2.993686187,,0.0125,0.044150242
9,7,FALSE,29,10,0.000587881,1.436799383,,0.034482759,0.017048541
10,7,FALSE,52,10,0.000559996,-1.664076074,,0.019230769,0.029119813
11,7,FALSE,38,14,0.000534373,-0.434983123,,0.026315789,0.020306164
12,7,FALSE,73,14,0.000529774,-0.424980297,,0.01369863,0.038673507
13,7,FALSE,58,17,0.00064824,0.909652974,,0.017241379,0.037597919
14,7,FALSE,75,17,0.000613507,-0.15682596,,0.013333333,0.046013052
15,7,FALSE,17,19,0.000592876,0.483117894,,0.058823529,0.0100789
16,7,FALSE,67,19,0.000526771,-1.297512051,,0.014925373,0.035293664
17,7,FALSE,84,19,0.000576469,-1.771022603,,0.011904762,0.048423399
18,7,FALSE,24,23,0.00056946,1.814236126,,0.041666667,0.013667032
19,7,FALSE,41,23,0.000585855,-0.879633398,,0.024390244,0.024020065
20,7,FALSE,44,23,0.000552435,-0.031359048,,0.022727273,0.024307119
21,7,FALSE,67,25,0.000566238,-2.10903437,,0.014925373,0.037937975
22,7,FALSE,43,27,0.000534677,-2.547316455,,0.023255814,0.022991118
23,7,FALSE,63,27,0.00063162,2.647487252,,0.015873016,0.039792067
24,7,FALSE,110,27,0.000586813,2.237724121,,0.009090909,0.064549476
25,7,FALSE,69,29,0.000564615,1.192006697,,0.014492754,0.038958408
26,7,FALSE,63,32,0.000570616,-1.807284894,,0.015873016,0.035948795
27,7,FALSE,86,33,0.000567121,0.96104677,,0.011627907,0.048772412
28,7,FALSE,49,34,0.000600756,-0.876340646,,0.020408163,0.02943706
29,7,FALSE,59,34,0.000580295,-2.05132676,,0.016949153,0.034237399
30,7,FALSE,54,44,0.000599956,1.432535592,,0.018518519,0.032397651
31,7,FALSE,60,44,0.000539093,-0.04433015,,0.016666667,0.03234557
32,7,FALSE,76,44,0.000624863,-2.386439054,,0.013157895,0.047489595
0,8,FALSE,23,1,0.000702539,0.986793452,,0.043478261,0.016158395
1,8,FALSE,48,1,0.000814105,2.43319032,,0.020833333,0.039077039
2,8,FALSE,55,1,0.000686344,1.592113471,,0.018181818,0.037748908
3,8,FALSE,75,1,0.00065786,-0.333849706,,0.013333333,0.049339528
4,8,FALSE,34,2,0.000653164,-2.964877276,,0.029411765,0.022207583
5,8,FALSE,46,5,0.000723269,2.451023677,,0.02173913,0.033270354
6,8,FALSE,71,5,0.000694087,-1.3736548,,0.014084507,0.04928021
7,8,FALSE,50,6,0.000758161,0.637412692,,0.02,0.037908041
8,8,FALSE,29,10,0.000681271,1.362797399,,0.034482759,0.019756869
9,8,FALSE,52,10,0.00065235,-1.963215694,,0.019230769,0.033922209
10,8,FALSE,38,13,0.00073378,0.190556834,,0.026315789,0.02788365
11,8,FALSE,38,14,0.000713801,-0.54124086,,0.026315789,0.027124422
12,8,FALSE,31,15,0.000656121,-0.197605118,,0.032258065,0.02033975
13,8,FALSE,58,17,0.000700653,0.84894377,,0.017241379,0.040637885
14,8,FALSE,75,17,0.000762991,-0.404133026,,0.013333333,0.057224352
15,8,FALSE,17,19,0.000782392,0.418154862,,0.058823529,0.013300668
16,8,FALSE,84,19,0.00066581,-1.656740651,,0.011904762,0.05592806
17,8,FALSE,48,22,0.000673553,-1.7208779,,0.020833333,0.032330563
18,8,FALSE,24,23,0.000727341,1.600397738,,0.041666667,0.017456184
19,8,FALSE,41,23,0.000753018,-1.135251418,,0.024390244,0.030873746
20,8,FALSE,67,25,0.000725026,-2.300972709,,0.014925373,0.048576757
21,8,FALSE,43,27,0.000720506,-2.722360247,,0.023255814,0.030981755
22,8,FALSE,63,27,0.000763036,2.500617816,,0.015873016,0.048071259
23,8,FALSE,29,30,0.000665051,-1.559889155,,0.034482759,0.019286469
24,8,FALSE,63,32,0.000676348,-2.278550529,,0.015873016,0.042609939
25,8,FALSE,51,44,0.000731398,1.452982777,,0.019607843,0.037301318
26,8,FALSE,54,44,0.000658209,1.23124987,,0.018518519,0.035543268
27,8,FALSE,76,44,0.00070343,-2.763322347,,0.013157895,0.053460715
0,9,FALSE,23,1,0.000810515,0.915567324,,0.043478261,0.01864185
1,9,FALSE,48,1,0.000936214,2.312795909,,0.020833333,0.044938289
2,9,FALSE,34,2,0.000786597,-3.060164404,,0.029411765,0.026744289
3,9,FALSE,16,4,0.000808355,1.523731818,,0.0625,0.012933685
4,9,FALSE,46,5,0.000844386,2.374387505,,0.02173913,0.038841778
5,9,FALSE,75,5,0.000781559,1.836532622,,0.013333333,0.058616962
6,9,FALSE,50,6,0.000794711,0.593455013,,0.02,0.039735559
7,9,FALSE,81,9,0.0008157,-0.565147902,,0.012345679,0.066071713
8,9,FALSE,31,11,0.000790931,0.541685777,,0.032258065,0.024518865
9,9,FALSE,38,13,0.000952352,0.042057338,,0.026315789,0.036189375
10,9,FALSE,77,13,0.000890904,-1.063269167,,0.012987013,0.068599628
11,9,FALSE,38,14,0.00077078,-0.66524662,,0.026315789,0.029289625
12,9,FALSE,31,15,0.000764828,-0.339893191,,0.032258065,0.023709671
13,9,FALSE,75,17,0.000821132,-0.409779042,,0.013333333,0.061584903
14,9,FALSE,17,19,0.000920309,0.387532072,,0.058823529,0.01564526
15,9,FALSE,84,19,0.000781923,-1.839557056,,0.011904762,0.065681501
16,9,FALSE,24,23,0.000859361,1.47790369,,0.041666667,0.020624668
17,9,FALSE,41,23,0.00083771,-1.192831716,,0.024390244,0.034346121
18,9,FALSE,49,23,0.000790581,3.05732315,,0.020408163,0.038738475
19,9,FALSE,67,25,0.000808811,-2.30994723,,0.014925373,0.054190354
20,9,FALSE,43,27,0.000822044,-3.079526657,,0.023255814,0.035347877
21,9,FALSE,63,27,0.000774005,2.450809127,,0.015873016,0.048762327
22,9,FALSE,29,30,0.000808768,-1.689179416,,0.034482759,0.023454277
0,10,FALSE,23,1,0.000934895,0.898893536,,0.043478261,0.021502578
1,10,FALSE,48,1,0.001090773,2.234703892,,0.020833333,0.052357092
2,10,FALSE,58,1,0.00087729,1.811161759,,0.017241379,0.050882821
3,10,FALSE,34,2,0.001027628,2.981409319,,0.029411765,0.034939357
4,10,FALSE,16,4,0.000995055,1.431909046,,0.0625,0.015920888
5,10,FALSE,46,5,0.001050016,2.277060089,,0.02173913,0.048300736
6,10,FALSE,33,6,0.000884822,2.044500167,,0.03030303,0.029199139
7,10,FALSE,50,6,0.000922873,0.477549514,,0.02,0.046143634
8,10,FALSE,69,6,0.000902554,-0.693741996,,0.014492754,0.062276257
9,10,FALSE,76,8,0.000907368,-1.234438851,,0.013157895,0.068959999
10,10,FALSE,31,11,0.000962271,0.406418412,,0.032258065,0.02983041
11,10,FALSE,43,12,0.000937135,1.753081065,,0.023255814,0.040296798
12,10,FALSE,38,13,0.001049919,-0.027862169,,0.026315789,0.039896933
13,10,FALSE,40,14,0.000904114,-0.912852743,,0.025,0.036164558
